Date,Total Passengers,Blue Line,Green Line,Yellow Line,Orange Line,Purple Line
01-09-2025,800000,584000,204000,7000,5500,6700
08-09-2025,800000,570000,209000,,,
11-09-2025,767000,553000,195000,7000,4800,6500
12-09-2025,795000,572000,204000,7300,5300,7000
13-09-2025,696000,525000,166000,5300,,
14-09-2025,390000,300000,90000,3100,,
15-09-2025,783000,560000,204000,6700,4700,6600
16-09-2025,800000,565000,217000,7000,4400,6700
18-09-2025,800000,588000,193000,7000,4700,6600
19-09-2025,828000,600000,209000,7300,4800,6800
20-09-2025,708000,523000,179000,5466,,
21-09-2025,521000,404000,111000,4800,,
22-09-2025,869000,634000,213000,7600,4800,8300
24-09-2025,836000,610000,205000,,,
25-09-2025,933000,677000,232000,,,
26-09-2025,932000,680000,226000,,,
27-09-2025,982000,743000,221000,,,
28-09-2025,833000,,,,,
29-09-2025,9040000,7020000,1770000,,
30-09-2025,827000,637000,165000,,
